token_address,buy_timestamp,rvol,natr,vwap_dev,stoch_k,stoch_d,upper_wick,lower_wick,market_cap,token_age_hours,data_points,label
8w9GkGBn2BStX3pkyk6TGYWPV8phMpratri2Mm8eJhJi,1752856512823,0.7678,58.3879,2.1912,69.1536,69.1536,0.6713,0.0473,49729808281622.02,0.02,2,bad
3BDCyLDUxPDkZpTqRfadyRk1DNvFbWRoYj4sFp7Dbonk,1752856290880,1.1673,67.3229,0.0504,59.9870,59.9870,0.0000,0.1036,51392583425640.74,0.05,4,good
6QXNwseiEP7uxZSPTud5DUdSkCeKxH751M5We3VSbonk,1752855808575,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,22903942267340.72,0.00,1,good
42veXB9ocg5zuvsA8mDB7aE3TtvckJ1QnMBHpCUZbonk,1752856030572,1.0000,0.0000,0.0000,3.8568,3.8568,0.2690,0.0386,6051532681925.84,0.00,1,good
4Bq6bobwCvL54SoCxGGcxsHY5ZxvbYLRxArk4b1bbonk,1752856005674,1.0000,0.0000,0.0000,47.2449,47.2449,0.5276,0.0000,9103509456026.17,0.00,1,bad
37CK1GDT6y2YXKD3amHLwfkVXPmM1EMYAGmDKXiEbonk,1752855848026,0.5086,77.2012,-0.5545,54.1616,54.1616,0.0000,0.1245,43551090332513.89,0.02,2,bad
5AsKRJJDzDzaJvJfj29tFR1ag7r8cuZ9ykR9x6EEbonk,1752855629549,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,9160013016536.24,0.00,1,good
1LJPPqyMqwL45io3Z2Q68FzZZRaP3DaFnwzCQgXbonk,1752855409451,1.0000,0.0000,0.0000,82.2005,82.2005,0.1780,0.0004,14603353650441.64,0.00,1,good
4Qbq2P8sA71QbqRyQ4iqi2VbpRXcRM4EwsZnKuRkbonk,1752854581155,1.8682,10.2759,1.3986,100.0000,100.0000,0.0000,0.0000,8255972438300.28,0.02,2,good
BoDm3TCDaB8ksPoiKceAqALEDYYAvf6oGRbiMXcdbonk,1752854492675,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0015,6519764742531.77,0.00,1,good
D7Y9RodTKKiAkYggpaZM17wtKbESYxQFGh4YQSNsLrCF,1752854369473,1.0000,0.0000,0.0000,49.1609,49.1609,0.5084,0.0000,64070819313366.77,0.00,1,good
JEFgysYqF7zyncBYynEquefburpVuUJPdCr9BDefUYfW,1752854335299,1.0000,0.0000,0.0000,44.0278,44.0278,0.5597,0.0000,32668681444263.85,0.00,1,good
8jQDTAdFDi1uiApB8kdhTqmJt2e8JYu1h9K9EkRMbonk,1752854274228,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,5993717448520.73,0.00,1,good
A7nyqH614vx17bqiPv4ULDi1HP3NfJLgMq4YUsHxbonk,1752854154325,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,9637996055624.06,0.00,1,good
7hGVWEHdPkg46owgFbNvNq6Y3BFztj2MPR7QdeAnbonk,1752853996583,1.9835,46.5511,1.1374,100.0000,100.0000,0.0000,0.0000,81402089873173.84,0.03,3,good
5jicAS5PcodUDyoZVBssX2DeuLwwQGkdv4uJsqESbonk,1752853594078,1.5426,59.0074,0.5242,74.2090,74.2090,0.6775,0.2621,119953560474674.64,0.05,4,bad
6nRoYapK3K3XyCJk2s2baQhefFNRgtfozGanEhcfbonk,1752853126198,1.3364,31.3688,1.4134,93.7827,93.7827,0.1493,0.0516,39122528220011.21,0.05,4,good
CH2BdvE751qL4ufcZhK6rkuSYQCeymiLNsgg3sx6bonk,1752853030234,0.0721,50.5763,-1.7791,0.0000,0.0000,0.0000,0.0000,4953216023288.18,0.05,4,good
3V7Rw5JBFVvYUypvGVX6cEiRdnk1KBcdoxEfYb11bonk,1752852933404,2.4243,108.8117,0.7263,63.6839,63.6839,0.4787,0.0000,68791339210243.31,0.02,2,bad
9kfVy9xCgSJiXu8FRYK1h3P857EWpQDJQt77cVZ2bonk,1752852882853,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,8187698685427.09,0.00,1,bad
9z2qBPYeWVyZyW4TBgW8AUSHQnRQiArgXnfYLSCvbonk,1752852527865,1.0000,0.0000,0.0000,57.2165,57.2165,0.4278,0.0001,14374699654960.63,0.00,1,good
nCFZKj3wRQXA2MeDqrRkmGqhFQ2qemAscbRkHp2T4U8,1752852562209,0.0188,43.2741,-1.1379,0.0493,0.0493,0.0021,0.0135,4934509319194.75,0.03,3,good
5AaTWgxcd5vKo8hni8CsaSB32g23LijR4q4MgFx1bonk,1752852497169,0.4198,1.1935,-28.0274,2.4358,2.4358,0.0000,0.0000,5070715641510.72,0.05,3,good
8ihJXeVSi4RvRuyduLiFRXj9RNNWfjArzpEkX5s7bonk,1752852480120,1.3784,58.1255,1.3399,75.0561,75.0561,0.4535,0.2423,35465692988059.15,0.05,4,bad
3rdMBNFFpvDwjCvC5DJgkhJYCJY1JBHozfqs8NWGbonk,1752852455238,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,5845192509234.34,0.00,1,good
HFhMC1dPHhEvYnc29H1n2jkmn6umXwWzdGb1XFchbonk,1752851993544,4.8742,38.8296,1.2212,97.9598,97.9598,0.0264,0.1148,53675030976754.23,0.05,4,bad
3r1LrN5o2moabeutS4jGpzoc3tCzLYJcpgrVoNN8bonk,1752852213077,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,5948276208031.66,0.00,1,good
EEmZxaTVN338cNxrpiBDMDfN77dz1dXcCaxFqUpVbonk,1752851755741,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,5988015608803.87,0.00,1,good
2KH7pim8KNzLvK1GMRbZSyguZgcokgLfGK9UjL6Nbonk,1752851777382,1.0000,0.0000,0.0000,0.0000,0.0000,0.2100,0.0000,5786601138455.21,0.00,1,good
