token_address,buy_timestamp,rvol,natr,vwap_dev,stoch_k,stoch_d,upper_wick,lower_wick,market_cap,token_age_hours,data_points,label
2L9DvuCvbP5X4ndCYGHUGd7psFDJS9YhKPbnjZ6wbonk,1752726328433,1.4559,12.1911,1.2958,78.2119,78.2119,0,0.5145,40102965426689.15,0.28,18,bad
6M9xzAkpXfDnyk3g9imNFoUHJtg91ToyaUqWcsnfbonk,1752534815083,1,0,0,0,0,0,0,8267732456681.16,0,1,good
TqJzcd2k8Rw5whoShQ8eNLv9Czpnk3b7gx9yEMvpump,1748827100837,1,0,0,100,100,0,0,8407582444511.24,0,1,good
8rcTxtoda3zbybJoURP9RPvwoqWDbYX78BvGdv34pump,1749596977343,1,0,0,100,100,0,0,5723668610334.46,0,1,good
EvTM8inJQFNTerMVp8ukJfDpVyimq7vMfQBRMiKFpump,1751123117036,1,0,0,96.5973,96.5973,0.034,0,5613175485122.94,0,1,good
DY6WcHwHbN8TE5u7rZb4y4Jf65JiEp6wPDphArFH7Pnh,1751653603476,1,0,0,87.8513,87.8513,0.1215,0,5882955825637.87,0,1,good
Ce79zhUBMNY2QLMpzekGbgFiPENgEG1VxsT2uRsmpump,1750510477480,5.7868,10.4973,2.6869,85.1993,85.1993,0.5098,0.3154,30454166590402.36,0.98,53,good
3ynKyAqxHzqG2xDN6SNGDdNFDiY7cngwUYQGrGBVpump,1750516302311,1,0,0,100,100,0,0,4229011354335.94,0,1,good
5GwVSoQEJHfFQakNFrxED9gM1kPxMRGCsLY6vbu4bonk,1752801344864,1,0,0,100,100,0,0,6634830714550.64,0,1,good
HqVHEeURoDD42Hd9jZXLidnPcMLSeG8hjSYpdcqnpump,1748624583235,3.3727,2.7873,1.885,100,100,0,0,5503281291512.4,0.02,2,good
9gW72qZ4Yqc7QWcJB6ahKz6KtsEWyfK8kkataqejbonk,1750278555976,1,0,0,100,100,0,0,59791043720131.79,0,1,good
F9a1RWMAZAibUmjDC611y7u1cTgtz5Qe81WNa6jDRRzs,1750812987054,1,0,0,44.9025,44.9025,0.551,0,9389013208071.3,0,1,good
4f6Z8NFvFBfFwwqdRLvM5Cme19iegK4Ddc81yKctpump,1749616148532,0.4893,16.4231,3.2895,97.8755,97.8755,0.0867,0.0908,13417639859722.17,0.02,2,good
FaNcogaHBxactrHuPapYzq9M7Z1F7gqkaVGGnxY2xmeZ,1747922022922,1,0,0,52.6619,52.6619,0.4734,0,6924090358298.23,0,1,good
FoiPz4f17hZiRUbQUf3YjtP59475osco2zdeadndGwya,1750786546589,1.4306,42.7271,0.3551,56.3382,56.3382,0.2187,0.6069,208473695456669,0.72,44,good
2KH7pim8KNzLvK1GMRbZSyguZgcokgLfGK9UjL6Nbonk,1752851777382,1,0,0,0,0,0.21,0,5786601138455.21,0,1,good
5hAj6JQX9nnN5tnFFe68285489yZyxjtwTTRPqKymBLV,1752770662455,1.0097,29.6204,0.9509,79.1702,79.1702,0.5828,0,99527388038974.64,0.07,4,good
7T4SLeYksDqyabPNWYNjLf1C3PaEEwUqDiiATi5Rbonk,1750510993092,1,0,0,100,100,0,0.4039,6007005031105.51,0,1,good
AC1FRVmaFtQQjkQfGHKrfrU2hQ3uCZnkHAVB4dUspump,1750713360391,1,0,0,24.2514,24.2514,0.7575,0,5819323206724.43,0,1,good
GeQXhH4aRNaXMhU6Rp8MPKgoVfnSKTugiMznjGCfpump,1748659929294,0.3946,15.2582,1.6474,94.1313,94.1313,0.2157,0,38759501053931.95,0.17,11,good
42veXB9ocg5zuvsA8mDB7aE3TtvckJ1QnMBHpCUZbonk,1752856030572,1,0,0,3.8568,3.8568,0.269,0.0386,6051532681925.84,0,1,good
Hd3mujbkwg9YGomkpkXsEqoVK2DKPqnou9JQeeBybonk,1748034869137,1,0,0,100,100,0,0,10727433188686.65,0,1,good
Fd7R7RgBwwP93nsECf7nN9kj1EgpnxUfDLv51CpqGdun,1750440136667,0.1389,9.2526,-6.6266,7.5741,7.5741,0,0,4304543291796.74,0.02,2,good
5bJy8giLcmjRgrLojK3WMv3Bx2SHYo4ASoAUu1JWNrDL,1752602203924,1,0,0,100,100,0,0,52671439865474.53,0,1,good
RX72sjFcJCPvJS6V6KpiLKxHtnAGzytjyjJHsCKsV5h,1751903765470,1,0,0,100,100,0,0,5196693873728.48,0,1,good
3W9iYX2vvHSN3pEkYzJZga2KWSpAaFExUAHJdt6ppump,1748449313808,1,0,0,69.3173,69.3173,0.3068,0,12211646841462.14,0,1,good
H1v4nQgGSAfSLLvTsNaZRoiShvLpYTZpBepUxcWRpump,1749700605129,2.5349,18.891,0.6746,44.4778,44.4778,0,0,25148852554044.15,1.13,60,good
HNCcojZXWG7GGqSBBKdidqm4r2Ufm1X6CecYfQf8bonk,1752619556734,2.7166,54.2691,1.2889,79.549,79.549,0.2375,0.1555,26922413385411.57,0.05,4,good
76u2PzP7zETuUAy8qTXWYhA3idrn5NbcJUbm29gHbonk,1752558402125,1,0,0,100,100,0,0.0686,7281009230952.67,0,1,good
2GtS4XSwSruu39u6H4YeqdcGM2z9fJQmRsQr9ZhZpump,1751166738224,1,0,0,100,100,0,0,5467528530151.75,0,1,good
2cdg9JSqNcseBDRjY5bAESbbn8AAUAP1usFdNahVpump,1747932115269,1,0,0,100,100,0,0,6035452061266.72,0,1,good
6WBgGKc31dm8G29sJvzU6XMfbLcrHwdNkucaNFWGpump,1750094783971,1.0994,202.5202,-1.7217,21.0283,21.0283,0.6551,0.0306,9242846906256.84,0.02,2,good
5FvsWPsQZQourwcDn4K2N5QLi5FXKg4TQLYvn9Dgpump,1750788300914,1,0,0,100,100,0,0,4392572533260.06,0,1,good
8arfb7PVyegwSgXry9pm9fwoqosWcSJPTPJtT5iSpump,1751211330566,1,0,0,100,100,0,0,32541499539763,0,1,good
C34eDcVZBA3e55gcEn5qyH12iGVjd6VH3wZNJNVTbonk,1752540959629,1,0,0,100,100,0,0,5099925869768.71,0,1,good
2r5w1t7erNy3XoZHTcaZYT5bjR7z78gWsJgzd9Uxpump,1749170377400,1,0,0,30.247,30.247,0.6975,0,4368011956832.25,0,1,good
tbH3efQvD6s7FBEJvS6YGFjfPqhmTzYJSUSHkXBpump,1750824059555,0.7341,48.2779,-0.4551,24.7373,24.7373,0.0304,0.7365,21268451680446.44,0.33,21,bad
8tExLGMBv4f4LDXfvVTT55WcZyTpKzYYQMmND5bwbonk,1752527292366,1,0,0,0,0,0.6085,0,5049482203778.32,0,1,bad
AXjqt2kNdz4WrK8nDZozSevWjaooQ2dMo3vi2jCeTSLA,1751589425295,1,0,0,100,100,0,0,23830080827747.76,0,1,bad
